point,mean_ltime,mean_x_proj,mean_y_proj,mean_latitude,mean_longitude,n,date
2019-07-15T11:15:00Z,2019-07-15T11:14:54Z,371906.1249496835,9929416.21428687,-0.6384636461837297,-76.15114035782412,12,2019-07-15
2019-07-15T11:30:00Z,2019-07-15T11:29:54Z,371887.3825605513,9929421.115113158,-0.6384192779750198,-76.15130875724078,12,2019-07-15
2019-07-15T11:45:00Z,2019-07-15T11:44:54Z,371864.7266304594,9929441.34943927,-0.6382362032331875,-76.15151229081546,12,2019-07-15
2019-07-15T12:00:00Z,2019-07-15T11:59:54Z,371944.382999507,9929459.387355344,-0.6380732031663348,-76.15079650421643,12,2019-07-15
2019-07-15T12:15:00Z,2019-07-15T12:14:54Z,371962.2563730476,9929502.829214018,-0.6376802874835845,-76.15063581615719,12,2019-07-15
2019-07-15T12:30:00Z,2019-07-15T12:29:54Z,372012.0287221443,9929517.805595467,-0.6375449197349898,-76.15018855780833,12,2019-07-15
2019-07-15T12:45:00Z,2019-07-15T12:44:54Z,372099.2790047166,9929532.639753541,-0.6374109140592807,-76.1494045425242,12,2019-07-15
2019-07-15T13:00:00Z,2019-07-15T12:59:54Z,372165.8313676606,9929530.111748297,-0.6374339153910111,-76.1488065426414,12,2019-07-15
2019-07-15T13:15:00Z,2019-07-15T13:14:54Z,372139.54967998434,9929551.264954992,-0.6372425216336961,-76.14904265383989,12,2019-07-15
2019-07-15T13:30:00Z,2019-07-15T13:29:54Z,372126.2706438408,9929555.803306092,-0.6372014433167851,-76.14916196325726,12,2019-07-15
2019-07-15T13:45:00Z,2019-07-15T13:44:54Z,372121.8367147532,9929555.302701334,-0.6372059625750366,-76.14920180524084,12,2019-07-15
2019-07-15T14:00:00Z,2019-07-15T13:59:55Z,372113.9533353875,9929549.268511495,-0.6372605287504389,-76.14927265328248,12,2019-07-15
2019-07-15T14:15:00Z,2019-07-15T14:14:55Z,372110.7584513289,9929583.890967032,-0.6369473459162276,-76.14930129144952,12,2019-07-15
2019-07-15T14:30:00Z,2019-07-15T14:29:55Z,372066.21378896467,9929624.852466442,-0.6365767400739528,-76.14970146445793,12,2019-07-15
2019-07-15T14:45:00Z,2019-07-15T14:44:56Z,372006.7434700272,9929674.581308248,-0.636126799499472,-76.15023573395122,12,2019-07-15
2019-07-15T15:00:00Z,2019-07-15T14:59:55Z,371949.82104435324,9929708.085236074,-0.6358236260743177,-76.15074714179121,12,2019-07-15
2019-07-15T15:15:00Z,2019-07-15T15:14:55Z,371910.9043797509,9929693.43099162,-0.6359561020417195,-76.15109685574903,12,2019-07-15
2019-07-15T15:30:00Z,2019-07-15T15:29:55Z,371839.41609747626,9929697.767943595,-0.6359167280507846,-76.15173920290589,12,2019-07-15
2019-07-15T15:45:00Z,2019-07-15T15:44:55Z,371795.19264842215,9929661.136416188,-0.6362479878334741,-76.15213664481577,12,2019-07-15
2019-07-15T16:00:00Z,2019-07-15T15:59:55Z,371736.70281464414,9929719.920332396,-0.6357161421255649,-76.15266208537525,12,2019-07-15
2019-07-15T16:15:00Z,2019-07-15T16:14:55Z,371635.73906279024,9929715.406656802,-0.6357567664252421,-76.15356930066574,12,2019-07-15
2019-07-15T16:30:00Z,2019-07-15T16:29:55Z,371633.218634395,9929716.460921563,-0.6357472250253849,-76.153591945766,12,2019-07-15
2019-07-15T16:45:00Z,2019-07-15T16:44:56Z,371626.6867822834,9929725.61777576,-0.6356643838999853,-76.1536506190992,12,2019-07-15
2019-07-15T17:00:00Z,2019-07-15T16:59:55Z,371626.01373026473,9929724.99137081,-0.6356700486583907,-76.15365666804065,12,2019-07-15
2019-07-15T17:15:00Z,2019-07-15T17:14:55Z,371603.18123194505,9929634.366043556,-0.6364897498820737,-76.15386201067955,12,2019-07-15
2019-07-15T19:45:00Z,2019-07-15T19:44:56Z,371520.6336198536,9929357.09375053,-0.6389976362916098,-76.1546042980491,12,2019-07-15
2019-07-15T20:00:00Z,2019-07-15T19:59:55Z,371493.5382076307,9929366.740191504,-0.6389103247752198,-76.15484774344935,12,2019-07-15
2019-07-15T20:15:00Z,2019-07-15T20:14:55Z,371458.20819748944,9929352.391677123,-0.6390400417167492,-76.1551652289839,12,2019-07-15
